
TIME               |OLD_HASH_VALUE|EXECUTIONS|DISK_READS|BUFFER_GETS|ROWS_PROCESSED|  CPU_TIME|ELAPSED_TIME|SQL                         |MODULE
2016/05/23 10:11:04|    2232614812|         7|         0|         14|             7|         0|      .00117|SELECT                      |
2016/05/23 10:11:04|    2783330933|         1|         0|        445|             8|      .004|     .003813|INSERT                      |SQL*Plus
2016/05/23 10:11:04|    3627662279|         6|         0|         54|             0|   .008998|     .008798|SELECT                      |
2016/05/23 10:11:04|    2482976222|         4|         0|         20|             6|         0|     .000194|SELECT                      |
2016/05/23 10:11:04|    4220435788|         3|         0|          9|             3|         0|     .000789|SELECT                      |
2016/05/23 10:11:04|      87488304|        12|         0|          0|           240|   .042991|     .042098|SELECT                      |
2016/05/23 10:11:04|    1032032951|         6|         0|          0|             0|   .010998|     .012745|SELECT                      |MMON_SLAVE
2016/05/23 10:11:04|    4127430198|         1|         0|          2|             0|         0|     .000094|SELECT                      |
2016/05/23 10:11:04|     880949626|         7|         1|      10384|             7|   .168976|     .182276|BEGIN                       |SQL*Plus
2016/05/23 10:11:04|    3684913675|         1|         0|          3|             1|         0|     .000339|SELECT                      |
